Data,Nome,WeekDay
2/5/2008,TERCA-FEIRA CARNAVAL,terça-feira
3/21/2008,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2008,TIRADENTES,segunda-feira
5/1/2008,DIA DO TRABALHO,quinta-feira
5/22/2008,CORPUS CHRISTI,quinta-feira
9/7/2008,INDEPENDENCIA,domingo
10/12/2008,N.S.APARECIDA,domingo
11/2/2008,FINADOS,domingo
11/15/2008,PROCLAMACAO DA REP.,sábado
12/25/2008,NATAL,quinta-feira
1/1/2009,CONFRATERNIZACAO,quinta-feira
2/23/2009,SEGUNDA-FEIRA CARNAV,segunda-feira
2/24/2009,TERCA-FEIRA CARNAVAL,terça-feira
4/10/2009,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2009,TIRADENTES,terça-feira
5/1/2009,DIA DO TRABALHO,sexta-feira
6/11/2009,CORPUS CHRISTI,quinta-feira
9/7/2009,INDEPENDENCIA,segunda-feira
10/12/2009,N.S.APARECIDA,segunda-feira
11/2/2009,FINADOS,segunda-feira
11/15/2009,PROCLAMACAO DA REP.,domingo
12/25/2009,NATAL,sexta-feira
1/1/2010,CONFRATERNIZACAO,sexta-feira
2/15/2010,SEGUNDA-FEIRA CARNAV,segunda-feira
2/16/2010,TERCA-FEIRA CARNAVAL,terça-feira
4/2/2010,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2010,TIRADENTES,quarta-feira
5/1/2010,DIA DO TRABALHO,sábado
6/3/2010,CORPUS CHRISTI,quinta-feira
9/7/2010,INDEPENDENCIA,terça-feira
10/12/2010,N.S.APARECIDA,terça-feira
11/2/2010,FINADOS,terça-feira
11/15/2010,PROCLAMACAO DA REP.,segunda-feira
12/25/2010,NATAL,sábado
1/1/2011,CONFRATERNIZACAO,sábado
3/7/2011,SEGUNDA-FEIRA CARNAV,segunda-feira
3/8/2011,TERCA-FEIRA CARNAVAL,terça-feira
4/21/2011,TIRADENTES,quinta-feira
4/22/2011,SEXTA-FEIRA PAIXAO,sexta-feira
5/1/2011,DIA DO TRABALHO,domingo
6/23/2011,CORPUS CHRISTI,quinta-feira
9/7/2011,INDEPENDENCIA,quarta-feira
10/12/2011,N.S.APARECIDA,quarta-feira
11/2/2011,FINADOS,quarta-feira
11/15/2011,PROC.DA REPUBLICA,terça-feira
12/25/2011,NATAL,domingo
1/1/2012,CONFRATERNIZACAO,domingo
2/20/2012,SEGUNDA-FEIRA CARNAV,segunda-feira
2/21/2012,TERCA-FEIRA CARNAVAL,terça-feira
4/6/2012,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2012,TIRADENTES,sábado
5/1/2012,DIA DO TRABALHO,terça-feira
6/7/2012,CORPUS CHRISTI,quinta-feira
9/7/2012,INDEPENDENCIA,sexta-feira
10/12/2012,N.S.APARECIDA,sexta-feira
11/2/2012,FINADOS,sexta-feira
11/15/2012,PROC.DA REPUBLICA,quinta-feira
12/25/2012,NATAL,terça-feira
1/1/2013,CONFRATERNIZACAO,terça-feira
2/11/2013,SEGUNDA-FEIRA CARNAV,segunda-feira
2/12/2013,TERCA-FEIRA CARNAVAL,terça-feira
3/29/2013,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2013,TIRADENTES,domingo
5/1/2013,DIA DO TRABALHO,quarta-feira
5/30/2013,CORPUS CHRISTI,quinta-feira
9/7/2013,INDEPENDENCIA,sábado
10/12/2013,N.S.APARECIDA,sábado
11/2/2013,FINADOS,sábado
11/15/2013,PROC.DA REPUBLICA,sexta-feira
12/25/2013,NATAL,quarta-feira
1/1/2014,CONFRATERNIZACAO,quarta-feira
3/3/2014,SEGUNDA-FEIRA CARNAV,segunda-feira
3/4/2014,TERCA-FEIRA CARNAVAL,terça-feira
4/18/2014,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2014,TIRADENTES,segunda-feira
5/1/2014,DIA DO TRABALHO,quinta-feira
6/19/2014,CORPUS CHRISTI,quinta-feira
9/7/2014,INDEPENDENCIA,domingo
10/12/2014,N.S.APARECIDA,domingo
11/2/2014,FINADOS,domingo
11/15/2014,PROC.DA REPUBLICA,sábado
12/25/2014,NATAL,quinta-feira
1/1/2015,CONFRATERNIZACAO,quinta-feira
2/16/2015,SEGUNDA-FEIRA CARNAV,segunda-feira
2/17/2015,TERCA-FEIRA CARNAVAL,terça-feira
4/3/2015,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2015,TIRADENTES,terça-feira
5/1/2015,DIA DO TRABALHO,sexta-feira
6/4/2015,CORPUS CHRISTI,quinta-feira
9/7/2015,INDEPENDENCIA,segunda-feira
10/12/2015,N.S.APARECIDA,segunda-feira
11/2/2015,FINADOS,segunda-feira
11/15/2015,PROC.DA REPUBLICA,domingo
12/25/2015,NATAL,sexta-feira
1/1/2016,CONFRATERNIZACAO,sexta-feira
2/8/2016,SEGUNDA-FEIRA CARNAV,segunda-feira
2/9/2016,TERCA-FEIRA CARNAVAL,terça-feira
3/25/2016,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2016,TIRADENTES,quinta-feira
5/1/2016,DIA DO TRABALHO,domingo
5/26/2016,CORPUS CHRISTI,quinta-feira
9/7/2016,INDEPENDENCIA,quarta-feira
10/12/2016,N.S.APARECIDA,quarta-feira
11/2/2016,FINADOS,quarta-feira
11/15/2016,PROC.DA REPUBLICA,terça-feira
12/25/2016,NATAL,domingo
1/1/2017,CONFRATERNIZACAO,domingo
2/27/2017,SEGUNDA-FEIRA CARNAV,segunda-feira
2/28/2017,TERCA-FEIRA CARNAVAL,terça-feira
4/14/2017,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2017,TIRADENTES,sexta-feira
5/1/2017,DIA DO TRABALHO,segunda-feira
6/15/2017,CORPUS CHRISTI,quinta-feira
9/7/2017,INDEPENDENCIA,quinta-feira
10/12/2017,N.S.APARECIDA,quinta-feira
11/2/2017,FINADOS,quinta-feira
11/15/2017,PROC.DA REPUBLICA,quarta-feira
12/25/2017,NATAL,segunda-feira
1/1/2018,CONFRATERNIZACAO,segunda-feira
2/12/2018,SEGUNDA-FEIRA CARNAV,segunda-feira
2/13/2018,TERCA-FEIRA CARNAVAL,terça-feira
3/30/2018,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2018,TIRADENTES,sábado
5/1/2018,DIA DO TRABALHO,terça-feira
5/31/2018,CORPUS CHRISTI,quinta-feira
9/7/2018,INDEPENDENCIA,sexta-feira
10/12/2018,N.S.APARECIDA,sexta-feira
11/2/2018,FINADOS,sexta-feira
11/15/2018,PROC.DA REPUBLICA,quinta-feira
12/25/2018,NATAL,terça-feira
1/1/2019,CONFRATERNIZACAO,terça-feira
3/4/2019,SEGUNDA-FEIRA CARNAV,segunda-feira
3/5/2019,TERCA-FEIRA CARNAVAL,terça-feira
4/19/2019,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2019,TIRADENTES,domingo
5/1/2019,DIA DO TRABALHO,quarta-feira
6/20/2019,CORPUS CHRISTI,quinta-feira
